Title,Sender,Sender Email,Date
=?UTF-8?Q?=F0=9F=98=8E_Are_you_a_Bargain_Hunter=3F?=,EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Sat, 10 Jun 2023 12:50:31 +0530"
"=?UTF-8?Q?LIVE:_UP_TO_45%_OFF_on_Travel_Bookings=E2=9C=88=EF=B8=8F?=
 =?UTF-8?Q?=F0=9F=8F=A8=F0=9F=9A=8C=F0=9F=9A=95?=",Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Sat, 10 Jun 2023 11:43:06 +0530"
=?UTF-8?Q?=E2=80=9Cdata_analyst=E2=80=9C:_30+_opportunities?=,LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,jobalerts-noreply@linkedin.com,"Sat, 10 Jun 2023 04:48:01 +0000 (UTC)"
"Part 1: Eight Major Methods For FineTuning an LLM | Bruce H. Cottman,
 Ph.D.",Medium Daily Digest <noreply@medium.com>,noreply@medium.com,"Sat, 10 Jun 2023 02:10:00 +0000 (UTC)"
Improve Your Communication Skills with Michigan Online,"""University of Michigan"" <no-reply@m.mail.coursera.org>",no-reply@m.mail.coursera.org,"Fri, 09 Jun 2023 22:34:22 +0000"
New jobs similar to Data Analyst at Volvo Group,LinkedIn <jobs-noreply@linkedin.com>,jobs-noreply@linkedin.com,"Fri, 9 Jun 2023 19:09:16 +0000 (UTC)"
"Notification: Apashshishi's Birthday @ Sat Jun 10, 2023 12:30am -
 1:30am (IST) (vyas.mudit14@gmail.com)",Google Calendar <calendar-notification@google.com>,calendar-notification@google.com,"Fri, 09 Jun 2023 18:29:48 +0000"
"Our free, hands-on data science courses",Kaggle <noreply@kaggle.com>,noreply@kaggle.com,"Fri, 09 Jun 2023 11:11:45 -0700"
=?UTF-8?Q?=E2=9C=89=EF=B8=8F_You_have_an_invitation?=,AMBERMANI PRATAP SINGH <invitations@linkedin.com>,invitations@linkedin.com,"Fri, 9 Jun 2023 15:23:45 +0000 (UTC)"
"2000+ learners stood out as specialists in their field with this MBA,
 Future =?UTF-8?B?TGVhcm5lcvCfpK8=?=",upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Fri, 09 Jun 2023 14:07:21 +0000 (UTC)"
"=?UTF-8?B?WW91ciBmbGlnaHQgaXMgc2NoZWR1bGVkISAz77iP4oOjLi4uMu+4jw==?=
 =?UTF-8?B?4oOjLi4uMe+4j+KDoyDinIjvuI8=?=",EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Fri, 09 Jun 2023 18:59:45 +0530"
"Mudit, message your new connection",Tarun Garg via LinkedIn <invitations@linkedin.com>,invitations@linkedin.com,"Fri, 9 Jun 2023 13:23:44 +0000 (UTC)"
"=?UTF-8?Q?Few_Hours_Left:_Save_up_to_Rs._30,000_on_foreign_stays_?=
 =?UTF-8?Q?=E2=8C=9A?=",Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Fri, 09 Jun 2023 16:53:58 +0530"
=?UTF-8?Q?=E2=9C=89=EF=B8=8F_You_have_an_invitation?=,Deepesh Earla <invitations@linkedin.com>,invitations@linkedin.com,"Fri, 9 Jun 2023 09:23:43 +0000 (UTC)"
"SNS SQUARE CONSULTANCY SERVICES PVT LTD is hiring: Junior Data
 Analyst.",LinkedIn <jobs-listings@linkedin.com>,jobs-listings@linkedin.com,"Fri, 9 Jun 2023 08:49:06 +0000 (UTC)"
Monsoon experts predict this for 2023.,Rapido Bike Taxi <hello@updates.rapido.bike>,hello@updates.rapido.bike,"Fri, 09 Jun 2023 06:01:45 +0000 (UTC)"
=?UTF-8?Q?=E2=80=9Cdata_analyst=E2=80=9C:_30+_opportunities?=,LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,jobalerts-noreply@linkedin.com,"Fri, 9 Jun 2023 04:42:18 +0000 (UTC)"
"Earn $200+ an Article By Writing For These 3 Websites | Anangsha
 Alammyan in =?UTF-8?B?RnJlZWxhbmNlcuKAmXM=?= Hub",Medium Daily Digest <noreply@medium.com>,noreply@medium.com,"Fri, 09 Jun 2023 02:10:00 +0000 (UTC)"
"=?utf-8?Q?Your_curated_list_of_fresher_jobs_&_internships!?=
 =?utf-8?Q?_=F0=9F=9A=80?=","""Varsha from Prosple"" <varsha@prosple.com>",varsha@prosple.com,"Thu, 08 Jun 2023 18:09:07 -0500"
=?UTF-8?B?SnVuZSBnZXRhd2F5PyBIZXJl4oCZcyB3aGVyZSB0byBnby4=?=,"""trivago"" <newsletter@email.trivago.com>",newsletter@email.trivago.com,"Thu, 08 Jun 2023 11:06:48 -0600"
Your Telephone Bill generated in the month of Jun'2023,BSNL Care -NZ <BSNL@ndc.bsnl.co.in>,BSNL@ndc.bsnl.co.in,"Thu, 8 Jun 2023 21:02:42"
=?UTF-8?Q?=E2=8C=9B=EF=B8=8F_It's_Now_or_Never!?=,EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Thu, 08 Jun 2023 18:35:58 +0530"
[Invite] Land Data Science Jobs Outside India,Team Scaler <academy@mailer.scaler.com>,academy@mailer.scaler.com,"Thu, 08 Jun 2023 05:18:16 -0700 (PDT)"
=?UTF-8?Q?Product_Management_Course_@_=E2=82=B90?=,GeeksforGeeks <no-reply@geeksforgeeks.org>,no-reply@geeksforgeeks.org,"Thu, 8 Jun 2023 07:43:55 +0000"
=?UTF-8?Q?=E2=80=9Cdata_analyst=E2=80=9C:_30+_opportunities?=,LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,jobalerts-noreply@linkedin.com,"Thu, 8 Jun 2023 04:45:54 +0000 (UTC)"
Get started with Medium,Medium <yourfriends@medium.com>,yourfriends@medium.com,"Thu, 08 Jun 2023 04:33:32 +0000 (UTC)"
=?UTF-8?Q?FOR_YOU:_Up_to_Rs._5000_Cashback_=F0=9F=92=B0?=,Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Thu, 08 Jun 2023 08:35:35 +0530"
"=?utf-8?q?More_related_to_=22How_do_I_add_a_HackerRank_profile_to_LinkedIn?=
 =?utf-8?q?=3F=22?=",Quora <curiosity-noreply@quora.com>,curiosity-noreply@quora.com,"Wed, 07 Jun 2023 19:09:53 +0000"
=?UTF-8?Q?You=E2=80=99re_officially_a_Kaggler=2E_Now_what=3F?=,Kaggle <noreply@kaggle.com>,noreply@kaggle.com,"Wed, 07 Jun 2023 10:19:33 -0700"
New bill from BSNL Landline - Individual. Pay now on Google Pay,Google Pay <google-pay-noreply@google.com>,google-pay-noreply@google.com,"Wed, 07 Jun 2023 08:26:26 -0700"
NASA Mars Exploration Newsletter: June 2023,"""NASA Mars"" <no-reply-mars@jpl.nasa.gov>",no-reply-mars@jpl.nasa.gov,"Wed, 07 Jun 2023 08:12:15 -0400"
=?UTF-8?Q?=F0=9F=8C=9F_Book_Now_or_Regret_Later!_Limited_Time_Offer!?=,EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Wed, 07 Jun 2023 18:28:11 +0530"
"I Asked ChatGPT How To Earn $1000 Online. It Was Hilarious. | Linda
 Caroll in The Partnered Pen",Medium <noreply@medium.com>,noreply@medium.com,"Wed, 07 Jun 2023 12:00:00 +0000 (UTC)"
Security alert,Google <no-reply@accounts.google.com>,no-reply@accounts.google.com,"Wed, 07 Jun 2023 11:06:26 GMT"
"GUVI Geek Networks, IITM Research Park is hiring: Computer Aided
 Design Specialist Mechanical.",LinkedIn <jobs-listings@linkedin.com>,jobs-listings@linkedin.com,"Wed, 7 Jun 2023 09:03:07 +0000 (UTC)"
Laxman just messaged you,Laxman Dixit via LinkedIn <messaging-digest-noreply@linkedin.com>,messaging-digest-noreply@linkedin.com,"Wed, 7 Jun 2023 08:34:05 +0000 (UTC)"
Last Chance: Up To 40% OFF on hotels!,Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Wed, 07 Jun 2023 13:39:25 +0530"
=?UTF-8?Q?=E2=80=9Cdata_analyst=E2=80=9C:_30+_opportunities?=,LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,jobalerts-noreply@linkedin.com,"Wed, 7 Jun 2023 04:36:07 +0000 (UTC)"
=?UTF-8?Q?=E2=9C=89=EF=B8=8F_You_have_an_invitation?=,Kumar Kush <invitations@linkedin.com>,invitations@linkedin.com,"Wed, 7 Jun 2023 04:23:39 +0000 (UTC)"
"=?utf-8?Q?Your_curated_list_of_fresher_jobs_&_internships!?=
 =?utf-8?Q?_=F0=9F=9A=80?=","""Varsha from Prosple"" <varsha@prosple.com>",varsha@prosple.com,"Tue, 06 Jun 2023 18:08:19 -0500"
=?UTF-8?B?8J+MjSBNdWRpdCwgeW91ciBNYXkgdXBkYXRl?=,Google Maps Timeline <noreply-maps-timeline@google.com>,noreply-maps-timeline@google.com,"Tue, 06 Jun 2023 14:44:25 -0700"
=?UTF-8?Q?=E2=9C=89=EF=B8=8F_You_have_an_invitation?=,Praveer Prakash <invitations@linkedin.com>,invitations@linkedin.com,"Tue, 6 Jun 2023 18:53:40 +0000 (UTC)"
We Challenge You to Solve Compress the String!,HackerRank Team <no-reply@hackerrankmail.com>,no-reply@hackerrankmail.com,"Tue, 06 Jun 2023 17:52:10 +0000"
LAUNCH | Lucky Belts,Gaucho - Buenos Aires <hello@gauchobuenosaires.com>,hello@gauchobuenosaires.com,"Tue, 06 Jun 2023 16:04:53 +0000 (UTC)"
=?utf-8?B?VG9kYXbDrWEgdGllbmVzIHBsYXpvIHBhcmEgYXBsaWNhcg==?=,"""Coursera"" <no-reply@m.mail.coursera.org>",no-reply@m.mail.coursera.org,"Tue, 06 Jun 2023 15:44:39 +0000"
=?UTF-8?Q?PPAC=20Report=20Download=20-=20OTP?=,"""Petroleum Planning & Analysis Cell"" <web.admin@ppac.gov.in>",web.admin@ppac.gov.in,"Tue, 6 Jun 2023 19:43:08 +0530"
"=?UTF-8?Q?Still_not_booked=3F_Amazing_Travel_Deals_are_waiting_to_be_unwr?=
 =?UTF-8?Q?apped!_=E2=9C=88=EF=B8=8F?=",EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Tue, 06 Jun 2023 19:24:53 +0530"
"Mudit, here are top recommendations for your feed",LinkedIn <messages-noreply@linkedin.com>,messages-noreply@linkedin.com,"Tue, 6 Jun 2023 13:01:30 +0000 (UTC)"
Your Telephone Bill generated in the month of Jun'2023,BSNL Care -NZ <BSNL@ndc.bsnl.co.in>,BSNL@ndc.bsnl.co.in,"Tue, 6 Jun 2023 18:12:41"
"Hey, you =?UTF-8?B?ZG9u4oCZdA==?= need to be a coder to be a data
 =?UTF-8?B?c2NpZW50aXN08J+RqeKAjfCfkrvwn5Go4oCN8J+Suw==?=",upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Tue, 06 Jun 2023 12:01:22 +0000 (UTC)"
"=?UTF-8?Q?For_You:_International_Trips_Under_Budget!_=F0=9F=A4=A9?=
 =?UTF-8?Q?=E2=9C=88=EF=B8=8F?=",Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Tue, 06 Jun 2023 17:12:10 +0530"
Give your Financial journey head start .Start Investing Now !,YONO SBI <yonosbi@alerts.sbi.co.in>,yonosbi@alerts.sbi.co.in,"Tue, 6 Jun 2023 13:52:22 +0530"
"This Father's Day, Walk Down the Memory Lane",Ferns N Petals <happiness@moments.fnp.com>,happiness@moments.fnp.com,"Tue, 06 Jun 2023 06:54:20 +0000 (UTC)"
"Since you saved a Data Analyst job, improve your Data Analyst
 skills with these courses",LinkedIn <messages-noreply@linkedin.com>,messages-noreply@linkedin.com,"Tue, 6 Jun 2023 05:01:30 +0000 (UTC)"
=?UTF-8?Q?=E2=80=9Cdata_analyst=E2=80=9C:_30+_opportunities?=,LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,jobalerts-noreply@linkedin.com,"Tue, 6 Jun 2023 04:39:19 +0000 (UTC)"
What did you think of Data Visualization in Power BI?,DataCamp <team@datacamp.com>,team@datacamp.com,"Tue, 06 Jun 2023 03:13:35 +0000 (UTC)"
"Mudit, message your new connection",Risabh Hemani via LinkedIn <invitations@linkedin.com>,invitations@linkedin.com,"Mon, 5 Jun 2023 20:32:52 +0000 (UTC)"
"An AACSB-accredited (elite) B-school will add credibility to your
 resume =?UTF-8?B?8J+Srw==?=",upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Mon, 05 Jun 2023 15:01:15 +0000 (UTC)"
"Your registration is confirmed for Microsoft Azure Virtual Training
 Day: Fundamentals",Microsoft Azure Team <azure@email.microsoft.com>,azure@email.microsoft.com,"Mon, 5 Jun 2023 07:20:08 -0500 (CDT)"
NPTEL Newsletter: May 2023: Vol 3: Week 1,NPTEL <onlinecourses@nptel.iitm.ac.in>,onlinecourses@nptel.iitm.ac.in,"Mon, 5 Jun 2023 16:56:58 +0530"
Practice Coding with Tuples,HackerRank Team <no-reply@hackerrankmail.com>,no-reply@hackerrankmail.com,"Mon, 05 Jun 2023 11:51:58 +0000"
Digital Banking Bole Toh YONO. Register Now!,YONO SBI <yonosbi@alerts.sbi.co.in>,yonosbi@alerts.sbi.co.in,"Mon, 5 Jun 2023 16:15:26 +0530"
=?UTF-8?Q?Coming_Soon:_BIG_SAVINGS_on_foreign_stays!_=E2=8F=B3?=,Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Mon, 05 Jun 2023 16:15:17 +0530"
"Pacific International Lines (PTE) Ltd is hiring: Data Analyst /
 Data Engineer (Open to Fresh Grads).",LinkedIn <jobs-listings@linkedin.com>,jobs-listings@linkedin.com,"Mon, 5 Jun 2023 09:30:07 +0000 (UTC)"
=?UTF-8?Q?=F0=9F=98=8DTap_for_Amazing_Travel_Deals!_=E2=9C=A8=F0=9F=8C=8D?=,EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Mon, 05 Jun 2023 13:06:41 +0530"
Register on YONO SBI App and explore host of benefits,YONO SBI <YONOSBI@communications.sbi.co.in>,YONOSBI@communications.sbi.co.in,"Mon, 5 Jun 2023 10:37:00 +0530"
=?UTF-8?Q?=E2=80=9Cdata_analyst=E2=80=9C:_30+_opportunities?=,LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,jobalerts-noreply@linkedin.com,"Mon, 5 Jun 2023 05:01:01 +0000 (UTC)"
"=?UTF-8?Q?Mohit_Jain_and_others_have_added_3?=
 =?UTF-8?Q?_comments_on_Dundigalla_Ravi=E2=80=99s_post?=",LinkedIn <notifications-noreply@linkedin.com>,notifications-noreply@linkedin.com,"Mon, 5 Jun 2023 04:09:35 +0000 (UTC)"
=?utf-8?B?U2F5IHllcyB0byB1bHRyYS1wcm9kdWN0aXZpdHku?=,"""Adobe Acrobat"" <mail@mail.adobe.com>",mail@mail.adobe.com,"Sun, 04 Jun 2023 18:34:33 -0700"
"=?utf-8?Q?Your_curated_list_of_fresher_jobs_&_internships!?=
 =?utf-8?Q?_=F0=9F=9A=80?=","""Varsha from Prosple"" <varsha@prosple.com>",varsha@prosple.com,"Sun, 04 Jun 2023 18:25:49 -0500"
"=?utf-8?q?More_related_to_=22What_is_meaning_of_different_color_hearts_?=
 =?utf-8?q?=F0=9F=92=9C=F0=9F=92=93=F0=9F=92=9B=F0=9F=92=9A=F0=9F=92=99?=
 =?utf-8?q?=E2=9D=A4=EF=B8=8F=F0=9F=92=97=E2=9D=A4=EF=B8=8F=3F=22?=",Quora <curiosity-noreply@quora.com>,curiosity-noreply@quora.com,"Sun, 04 Jun 2023 19:00:24 +0000"
New jobs similar to Quantitative Analyst at PokerStars,LinkedIn <jobs-noreply@linkedin.com>,jobs-noreply@linkedin.com,"Sun, 4 Jun 2023 17:58:37 +0000 (UTC)"
Hurry! Create a free Amazon Business account in 1 minute!,Amazon Business <no-reply@business.amazon.in>,no-reply@business.amazon.in,"Sun, 4 Jun 2023 11:32:03 +0000"
"=?UTF-8?Q?=E2=8F=B3_Hurry!_Discounts_Ending_Soon!_=F0=9F=92=A8?=
 =?UTF-8?Q?=F0=9F=92=B8?=",EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Sun, 04 Jun 2023 13:18:40 +0530"
"This Environment Day, send green gifts on special occasions",Ferns N Petals <happiness@moments.fnp.com>,happiness@moments.fnp.com,"Sun, 04 Jun 2023 07:10:43 +0000 (UTC)"
=?utf-8?B?SXTigJlzIHN1cGVyYiDwn6Sp?=,"""IndiGo"" <mailers@marketing.goindigo.in>",mailers@marketing.goindigo.in,"Sun, 04 Jun 2023 11:35:35 +0530"
=?UTF-8?Q?=E2=80=9Cdata_analyst=E2=80=9C:_30+_opportunities?=,LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,jobalerts-noreply@linkedin.com,"Sun, 4 Jun 2023 04:47:00 +0000 (UTC)"
Travelling in North India?,Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Sun, 04 Jun 2023 09:17:56 +0530"
You can use AI to grow your career =?UTF-8?B?8J+mvg==?=,upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Sat, 03 Jun 2023 12:01:19 +0000 (UTC)"
"Exciting news: We're launching something
 =?UTF-8?B?cmV2b2x1dGlvbmFyeeKApg==?=",Anshuman Singh <hello@scaler.com>,hello@scaler.com,"Sat, 03 Jun 2023 11:39:36 +0000 (UTC)"
"=?UTF-8?Q?=F0=9F=98=8DYour_account_has_been_credited_With_amazing_deals_o?=
 =?UTF-8?Q?n_flight_bookings=F0=9F=92=B0?=",EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Sat, 03 Jun 2023 16:22:47 +0530"
AVAIL EXCITING OFFER  ON BOOKING TATA ALTROZ iCNG ON YONO SBI,YONO SBI <yonosbi@alerts.sbi.co.in>,yonosbi@alerts.sbi.co.in,"Sat, 3 Jun 2023 14:52:30 +0530"
Live Interview Experience Session for Data Scientists,upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Sat, 03 Jun 2023 06:59:46 +0000 (UTC)"
=?UTF-8?Q?=E2=80=9Cdata_analyst=E2=80=9C:_30+_opportunities?=,LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,jobalerts-noreply@linkedin.com,"Sat, 3 Jun 2023 04:51:06 +0000 (UTC)"
"Did you go, Mudit?","""Tripadvisor"" <content@mp1.tripadvisor.com>",content@mp1.tripadvisor.com,"Fri, 02 Jun 2023 22:13:04 +0000"
"=?utf-8?B?4o+wIFVwY29taW5nIERlYWRsaW5lOiBUcmFuc2Zvcm0geW91ciBk?=
	=?utf-8?B?YXRhIGFuYWx5c2lzIHNraWxscyB3aXRoIElTSSdzIG9ubGluZSBQRyBEaXBs?=
	=?utf-8?B?b21h?=","""Coursera"" <no-reply@m.mail.coursera.org>",no-reply@m.mail.coursera.org,"Fri, 02 Jun 2023 18:41:45 +0000"
Free Masterclass: How to land Data Science Jobs abroad,upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Fri, 02 Jun 2023 14:31:05 +0000 (UTC)"
"=?UTF-8?Q?=F0=9F=98=8DJoin_Our_15th_Anniversary_Travel_Sale!_=E2=9C=88?=
 =?UTF-8?Q?=EF=B8=8F=F0=9F=92=B0?=",EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Fri, 02 Jun 2023 19:08:36 +0530"
Live Interview Experience Session for Data Scientists,upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Fri, 02 Jun 2023 12:46:58 +0000 (UTC)"
"Gain credibility in the legal field with our highly regarded
 Corporate and Financial Law program",upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Fri, 02 Jun 2023 11:48:26 +0000 (UTC)"
Rohan Sanghvi mentioned you in a comment,LinkedIn <messages-noreply@linkedin.com>,messages-noreply@linkedin.com,"Fri, 2 Jun 2023 08:57:14 +0000 (UTC)"
=?UTF-8?Q?=E2=80=9Cdata_analyst=E2=80=9C:_30+_opportunities?=,LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,jobalerts-noreply@linkedin.com,"Fri, 2 Jun 2023 04:40:15 +0000 (UTC)"
"=?utf-8?Q?Your_curated_list_of_fresher_jobs_&_internships!?=
 =?utf-8?Q?_=F0=9F=9A=80?=","""Varsha from Prosple"" <varsha@prosple.com>",varsha@prosple.com,"Thu, 01 Jun 2023 18:11:30 -0500"
Archit Srivastava mentioned you in a comment,LinkedIn <messages-noreply@linkedin.com>,messages-noreply@linkedin.com,"Thu, 1 Jun 2023 16:08:40 +0000 (UTC)"
=?UTF-8?B?8J+OqA==?= NEW Colab with @coolman_coffeedan,Gaucho - Buenos Aires <hello@gauchobuenosaires.com>,hello@gauchobuenosaires.com,"Thu, 01 Jun 2023 16:03:05 +0000 (UTC)"
Live Masterclass : MBA,upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Thu, 01 Jun 2023 14:19:57 +0000 (UTC)"
Upto 28% Off with GST Invoice on your FREE Amazon Business Account,Amazon Business <no-reply@business.amazon.in>,no-reply@business.amazon.in,"Thu, 1 Jun 2023 11:32:01 +0000"
"=?UTF-8?Q?=F0=9F=8E=89_Celebrate_15_Years_of_Travel:_Grab_Amazing_Discoun?=
 =?UTF-8?Q?ts!_=F0=9F=8C=9F=F0=9F=92=B0?=",EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Thu, 01 Jun 2023 16:26:22 +0530"
Your balance for May,Splitwise <hello@splitwise.com>,hello@splitwise.com,"Thu, 01 Jun 2023 07:27:18 +0000 (UTC)"
=?UTF-8?Q?LIVE:_Guaranteed_Savings_on_Hotels_=F0=9F=8F=A8?=,Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Thu, 01 Jun 2023 12:50:30 +0530"
=?UTF-8?Q?=E2=80=9Cdata_analyst=E2=80=9C:_30+_opportunities?=,LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,jobalerts-noreply@linkedin.com,"Thu, 1 Jun 2023 04:42:51 +0000 (UTC)"
"=?utf-8?B?U2VlIDIwMjPigJlzIFRyYXZlbGxlcnPigJkgQ2hvaWNlIEJlc3Qg?=
	=?utf-8?B?b2YgdGhlIEJlc3QgSG90ZWxz?=","""Tripadvisor"" <awards@mp1.tripadvisor.com>",awards@mp1.tripadvisor.com,"Thu, 01 Jun 2023 02:38:02 +0000"
"=?UTF-8?Q?Mudit,_I=E2=80=99m_still_waiting_for_your_response?=","""Aditya (via LinkedIn)"" <messages-noreply@linkedin.com>",messages-noreply@linkedin.com,"Thu, 1 Jun 2023 01:33:20 +0000 (UTC)"
"=?utf-8?B?IExlYXJuIG1vcmUgYWJvdXQgd2hhdOKAmXMgZ29pbmcgb24gd2l0?=
	=?utf-8?B?aCBJQk0gU2tpbGxzIE5ldHdvcmsgb24gQ291cnNlcmE=?=","""IBM"" <no-reply@m.mail.coursera.org>",no-reply@m.mail.coursera.org,"Wed, 31 May 2023 20:25:00 +0000"
"=?UTF-8?Q?=E2=9C=88=EF=B8=8F_Travel_Dreams_Within_Reach!_=E2=9C=A8?=
 =?UTF-8?Q?=F0=9F=92=AB?=",EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Wed, 31 May 2023 18:27:21 +0530"
What did you think of Data Preparation in Power BI?,DataCamp <team@datacamp.com>,team@datacamp.com,"Wed, 31 May 2023 11:52:26 +0000 (UTC)"
Solinas Integrity Pvt. Ltd. is hiring: Mechanical Design Intern.,LinkedIn <jobs-listings@linkedin.com>,jobs-listings@linkedin.com,"Wed, 31 May 2023 09:36:07 +0000 (UTC)"
=?UTF-8?Q?=E2=80=9Cdata_analyst=E2=80=9C:_30+_opportunities?=,LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,jobalerts-noreply@linkedin.com,"Wed, 31 May 2023 04:42:44 +0000 (UTC)"
"=?utf-8?Q?Your_curated_list_of_fresher_jobs_&_internships!?=
 =?utf-8?Q?_=F0=9F=9A=80?=","""Varsha from Prosple"" <varsha@prosple.com>",varsha@prosple.com,"Tue, 30 May 2023 18:07:21 -0500"
Advance Your Career with a University of Leeds Degree,"""Coursera"" <no-reply@m.mail.coursera.org>",no-reply@m.mail.coursera.org,"Tue, 30 May 2023 15:33:05 +0000"
"=?UTF-8?Q?=F0=9F=8C=9F_Celebrate_Our_Anniversary_with_Amazing_Travel_Deal?=
 =?UTF-8?Q?s!?=",EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Tue, 30 May 2023 20:19:39 +0530"
"It is possible to match your tech skills to Google's needs
 =?UTF-8?B?4pyF?=",upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Tue, 30 May 2023 13:50:26 +0000 (UTC)"
"Mudit, follow these creators based on your recent activity",LinkedIn <messages-noreply@linkedin.com>,messages-noreply@linkedin.com,"Tue, 30 May 2023 13:01:33 +0000 (UTC)"
=?UTF-8?Q?REMINDER:_Check_Your_Travel_Pass_Book=F0=9F=91=87?=,Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Tue, 30 May 2023 18:07:11 +0530"
"Hey,  even non coders can become data
 =?UTF-8?B?c2NpZW50aXN0c/CfmLM=?=",upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Tue, 30 May 2023 12:02:18 +0000 (UTC)"
