,Firm,Sender Email,Day,Date,Month,Year,Time_24hr_offset,Parts_of_the_day,noreply,Month_year
17,LinkedIn,jobs-noreply@linkedin.com,Fri,9,Jun,2023,09:09:16,Morning,1,Jun 2023
18,Google,calendar-notification@google.com,Fri,9,Jun,2023,08:29:48,Morning,0,Jun 2023
19,Kaggle ,noreply@kaggle.com,Fri,9,Jun,2023,18:11:45,Evening,1,Jun 2023
20,AMBERMANI PRATAP SINGH ,invitations@linkedin.com,Fri,9,Jun,2023,05:23:45,Morning,0,Jun 2023
21,upGrad ,info@updates.upgrad.com,Fri,9,Jun,2023,04:07:21,Night,0,Jun 2023
22,EaseMyTrip ,info@easemytrip.com,Fri,9,Jun,2023,14:29:45,Afternoon,0,Jun 2023
23,LinkedIn,invitations@linkedin.com,Fri,9,Jun,2023,03:23:44,Night,0,Jun 2023
24,Goibibo ,noreply@content.goibibo.com,Fri,9,Jun,2023,12:23:58,Afternoon,1,Jun 2023
25,Deepesh Earla ,invitations@linkedin.com,Fri,9,Jun,2023,09:23:43,Morning,0,Jun 2023
26,LinkedIn,jobs-listings@linkedin.com,Fri,9,Jun,2023,08:49:06,Morning,0,Jun 2023
27,Rapido Bike Taxi ,hello@updates.rapido.bike,Fri,9,Jun,2023,06:01:45,Morning,0,Jun 2023
28,LinkedIn,jobalerts-noreply@linkedin.com,Fri,9,Jun,2023,04:42:18,Night,1,Jun 2023
29,Medium Daily Digest ,noreply@medium.com,Fri,9,Jun,2023,02:10:00,Night,1,Jun 2023
30,Varsha from Prosple ,varsha@prosple.com,Thu,8,Jun,2023,03:09:07,Night,0,Jun 2023
31,trivago ,newsletter@email.trivago.com,Thu,8,Jun,2023,19:06:48,Evening,0,Jun 2023
32,BSNL Care -NZ ,BSNL@ndc.bsnl.co.in,Thu,8,Jun,2023,01:02:42,Night,0,Jun 2023
33,EaseMyTrip ,info@easemytrip.com,Thu,8,Jun,2023,14:05:58,Afternoon,0,Jun 2023
34,Team Scaler ,academy@mailer.scaler.com,Thu,8,Jun,2023,22:18:16,Night,0,Jun 2023
35,GeeksforGeeks ,no-reply@geeksforgeeks.org,Thu,8,Jun,2023,07:43:55,Morning,0,Jun 2023
36,LinkedIn,jobalerts-noreply@linkedin.com,Thu,8,Jun,2023,04:45:54,Night,1,Jun 2023
37,Medium ,yourfriends@medium.com,Thu,8,Jun,2023,04:33:32,Night,0,Jun 2023
38,Goibibo ,noreply@content.goibibo.com,Thu,8,Jun,2023,14:05:35,Afternoon,1,Jun 2023
39,Quora ,curiosity-noreply@quora.com,Wed,7,Jun,2023,09:09:53,Morning,1,Jun 2023
40,Kaggle ,noreply@kaggle.com,Wed,7,Jun,2023,17:19:33,Evening,1,Jun 2023
41,Google,google-pay-noreply@google.com,Wed,7,Jun,2023,01:26:26,Night,1,Jun 2023
42,NASA Mars ,no-reply-mars@jpl.nasa.gov,Wed,7,Jun,2023,04:12:15,Night,0,Jun 2023
43,EaseMyTrip ,info@easemytrip.com,Wed,7,Jun,2023,13:58:11,Afternoon,0,Jun 2023
44,Medium ,noreply@medium.com,Wed,7,Jun,2023,02:00:00,Night,1,Jun 2023
45,Google,no-reply@accounts.google.com,Wed,7,Jun,2023,01:06:26,Night,0,Jun 2023
46,LinkedIn,jobs-listings@linkedin.com,Wed,7,Jun,2023,09:03:07,Morning,0,Jun 2023
47,LinkedIn,messaging-digest-noreply@linkedin.com,Wed,7,Jun,2023,08:34:05,Morning,1,Jun 2023
48,Goibibo ,noreply@content.goibibo.com,Wed,7,Jun,2023,09:09:25,Morning,1,Jun 2023
49,LinkedIn,jobalerts-noreply@linkedin.com,Wed,7,Jun,2023,04:36:07,Night,1,Jun 2023
50,Kumar Kush ,invitations@linkedin.com,Wed,7,Jun,2023,04:23:39,Night,0,Jun 2023
51,Varsha from Prosple ,varsha@prosple.com,Tue,6,Jun,2023,03:08:19,Night,0,Jun 2023
52,Google,noreply-maps-timeline@google.com,Tue,6,Jun,2023,21:44:25,Night,1,Jun 2023
53,Praveer Prakash ,invitations@linkedin.com,Tue,6,Jun,2023,08:53:40,Morning,0,Jun 2023
54,HackerRank Team ,no-reply@hackerrankmail.com,Tue,6,Jun,2023,07:52:10,Morning,0,Jun 2023
55,Gaucho - Buenos Aires ,hello@gauchobuenosaires.com,Tue,6,Jun,2023,06:04:53,Morning,0,Jun 2023
56,Coursera ,no-reply@m.mail.coursera.org,Tue,6,Jun,2023,05:44:39,Morning,0,Jun 2023
57,Petroleum Planning & Analysis Cell ,web.admin@ppac.gov.in,Tue,6,Jun,2023,15:13:08,Afternoon,0,Jun 2023
58,EaseMyTrip ,info@easemytrip.com,Tue,6,Jun,2023,14:54:53,Afternoon,0,Jun 2023
59,LinkedIn,messages-noreply@linkedin.com,Tue,6,Jun,2023,03:01:30,Night,1,Jun 2023
60,BSNL Care -NZ ,BSNL@ndc.bsnl.co.in,Tue,6,Jun,2023,08:12:41,Morning,0,Jun 2023
61,upGrad ,info@updates.upgrad.com,Tue,6,Jun,2023,02:01:22,Night,0,Jun 2023
62,Goibibo ,noreply@content.goibibo.com,Tue,6,Jun,2023,12:42:10,Afternoon,1,Jun 2023
63,SBI,yonosbi@alerts.sbi.co.in,Tue,6,Jun,2023,09:22:22,Morning,0,Jun 2023
64,Ferns N Petals ,happiness@moments.fnp.com,Tue,6,Jun,2023,06:54:20,Morning,0,Jun 2023
65,LinkedIn,messages-noreply@linkedin.com,Tue,6,Jun,2023,05:01:30,Morning,1,Jun 2023
66,LinkedIn,jobalerts-noreply@linkedin.com,Tue,6,Jun,2023,04:39:19,Night,1,Jun 2023
67,Datacamp,team@datacamp.com,Tue,6,Jun,2023,03:13:35,Night,0,Jun 2023
68,LinkedIn,invitations@linkedin.com,Mon,5,Jun,2023,00:32:52,Night,0,Jun 2023
69,upGrad ,info@updates.upgrad.com,Mon,5,Jun,2023,05:01:15,Morning,0,Jun 2023
70,Microsoft Azure Team ,azure@email.microsoft.com,Mon,5,Jun,2023,02:20:08,Night,0,Jun 2023
71,NPTEL ,onlinecourses@nptel.iitm.ac.in,Mon,5,Jun,2023,12:26:58,Afternoon,0,Jun 2023
72,HackerRank Team ,no-reply@hackerrankmail.com,Mon,5,Jun,2023,01:51:58,Night,0,Jun 2023
73,SBI,yonosbi@alerts.sbi.co.in,Mon,5,Jun,2023,11:45:26,Morning,0,Jun 2023
74,Goibibo ,noreply@content.goibibo.com,Mon,5,Jun,2023,11:45:17,Morning,1,Jun 2023
75,LinkedIn,jobs-listings@linkedin.com,Mon,5,Jun,2023,09:30:07,Morning,0,Jun 2023
76,EaseMyTrip ,info@easemytrip.com,Mon,5,Jun,2023,08:36:41,Morning,0,Jun 2023
77,SBI,YONOSBI@communications.sbi.co.in,Mon,5,Jun,2023,06:07:00,Morning,0,Jun 2023
78,LinkedIn,jobalerts-noreply@linkedin.com,Mon,5,Jun,2023,05:01:01,Morning,1,Jun 2023
79,LinkedIn,notifications-noreply@linkedin.com,Mon,5,Jun,2023,04:09:35,Night,1,Jun 2023
80,Adobe Acrobat ,mail@mail.adobe.com,Sun,4,Jun,2023,01:34:33,Night,0,Jun 2023
81,Varsha from Prosple ,varsha@prosple.com,Sun,4,Jun,2023,03:25:49,Night,0,Jun 2023
82,Quora ,curiosity-noreply@quora.com,Sun,4,Jun,2023,09:00:24,Morning,1,Jun 2023
83,LinkedIn,jobs-noreply@linkedin.com,Sun,4,Jun,2023,07:58:37,Morning,1,Jun 2023
84,Amazon,no-reply@business.amazon.in,Sun,4,Jun,2023,01:32:03,Night,0,Jun 2023
85,EaseMyTrip ,info@easemytrip.com,Sun,4,Jun,2023,08:48:40,Morning,0,Jun 2023
86,Ferns N Petals ,happiness@moments.fnp.com,Sun,4,Jun,2023,07:10:43,Morning,0,Jun 2023
87,IndiGo ,mailers@marketing.goindigo.in,Sun,4,Jun,2023,07:05:35,Morning,0,Jun 2023
88,LinkedIn,jobalerts-noreply@linkedin.com,Sun,4,Jun,2023,04:47:00,Night,1,Jun 2023
89,Goibibo ,noreply@content.goibibo.com,Sun,4,Jun,2023,14:47:56,Afternoon,1,Jun 2023
90,upGrad ,info@updates.upgrad.com,Sat,3,Jun,2023,02:01:19,Night,0,Jun 2023
91,Anshuman Singh ,hello@scaler.com,Sat,3,Jun,2023,01:39:36,Night,0,Jun 2023
92,EaseMyTrip ,info@easemytrip.com,Sat,3,Jun,2023,11:52:47,Morning,0,Jun 2023
93,SBI,yonosbi@alerts.sbi.co.in,Sat,3,Jun,2023,10:22:30,Morning,0,Jun 2023
94,upGrad ,info@updates.upgrad.com,Sat,3,Jun,2023,06:59:46,Morning,0,Jun 2023
95,LinkedIn,jobalerts-noreply@linkedin.com,Sat,3,Jun,2023,04:51:06,Night,1,Jun 2023
96,Tripadvisor ,content@mp1.tripadvisor.com,Fri,2,Jun,2023,02:13:04,Night,0,Jun 2023
97,Coursera ,no-reply@m.mail.coursera.org,Fri,2,Jun,2023,08:41:45,Morning,0,Jun 2023
98,upGrad ,info@updates.upgrad.com,Fri,2,Jun,2023,04:31:05,Night,0,Jun 2023
99,EaseMyTrip ,info@easemytrip.com,Fri,2,Jun,2023,14:38:36,Afternoon,0,Jun 2023
100,upGrad ,info@updates.upgrad.com,Fri,2,Jun,2023,02:46:58,Night,0,Jun 2023
101,upGrad ,info@updates.upgrad.com,Fri,2,Jun,2023,01:48:26,Night,0,Jun 2023
102,LinkedIn,messages-noreply@linkedin.com,Fri,2,Jun,2023,08:57:14,Morning,1,Jun 2023
103,LinkedIn,jobalerts-noreply@linkedin.com,Fri,2,Jun,2023,04:40:15,Night,1,Jun 2023
104,Varsha from Prosple ,varsha@prosple.com,Thu,1,Jun,2023,03:11:30,Night,0,Jun 2023
105,LinkedIn,messages-noreply@linkedin.com,Thu,1,Jun,2023,06:08:40,Morning,1,Jun 2023
106,Gaucho - Buenos Aires ,hello@gauchobuenosaires.com,Thu,1,Jun,2023,06:03:05,Morning,0,Jun 2023
107,upGrad ,info@updates.upgrad.com,Thu,1,Jun,2023,04:19:57,Night,0,Jun 2023
108,Amazon,no-reply@business.amazon.in,Thu,1,Jun,2023,01:32:01,Night,0,Jun 2023
109,EaseMyTrip ,info@easemytrip.com,Thu,1,Jun,2023,11:56:22,Morning,0,Jun 2023
110,Splitwise ,hello@splitwise.com,Thu,1,Jun,2023,07:27:18,Morning,0,Jun 2023
111,Goibibo ,noreply@content.goibibo.com,Thu,1,Jun,2023,08:20:30,Morning,1,Jun 2023
112,LinkedIn,jobalerts-noreply@linkedin.com,Thu,1,Jun,2023,04:42:51,Night,1,Jun 2023
113,Tripadvisor ,awards@mp1.tripadvisor.com,Thu,1,Jun,2023,02:38:02,Night,0,Jun 2023
114,LinkedIn,messages-noreply@linkedin.com,Thu,1,Jun,2023,01:33:20,Night,1,Jun 2023
115,IBM ,no-reply@m.mail.coursera.org,Wed,31,May,2023,00:25:00,Night,0,May 2023
116,EaseMyTrip ,info@easemytrip.com,Wed,31,May,2023,13:57:21,Afternoon,0,May 2023
117,Datacamp,team@datacamp.com,Wed,31,May,2023,01:52:26,Night,0,May 2023
118,LinkedIn,jobs-listings@linkedin.com,Wed,31,May,2023,09:36:07,Morning,0,May 2023
119,LinkedIn,jobalerts-noreply@linkedin.com,Wed,31,May,2023,04:42:44,Night,1,May 2023
120,Varsha from Prosple ,varsha@prosple.com,Tue,30,May,2023,03:07:21,Night,0,May 2023
121,Coursera ,no-reply@m.mail.coursera.org,Tue,30,May,2023,05:33:05,Morning,0,May 2023
122,EaseMyTrip ,info@easemytrip.com,Tue,30,May,2023,05:49:39,Morning,0,May 2023
123,upGrad ,info@updates.upgrad.com,Tue,30,May,2023,03:50:26,Night,0,May 2023
124,LinkedIn,messages-noreply@linkedin.com,Tue,30,May,2023,03:01:33,Night,1,May 2023
125,Goibibo ,noreply@content.goibibo.com,Tue,30,May,2023,13:37:11,Afternoon,1,May 2023
126,upGrad ,info@updates.upgrad.com,Tue,30,May,2023,02:02:18,Night,0,May 2023
127,Quantium (Forage) ,admin@theforage.com,Tue,30,May,2023,01:21:23,Night,0,May 2023
128,NPTEL ,onlinecourses@nptel.iitm.ac.in,Tue,30,May,2023,11:32:33,Morning,0,May 2023
129,LinkedIn,messages-noreply@linkedin.com,Tue,30,May,2023,05:01:26,Morning,1,May 2023
130,Tripadvisor ,inspiration@mp1.tripadvisor.com,Tue,30,May,2023,04:44:23,Night,0,May 2023
131,LinkedIn,jobalerts-noreply@linkedin.com,Tue,30,May,2023,04:39:09,Night,1,May 2023
132,Coursera ,Coursera@email.coursera.org,Mon,29,May,2023,21:19:01,Night,0,May 2023
133,Coursera ,no-reply@m.mail.coursera.org,Mon,29,May,2023,09:05:35,Morning,0,May 2023
134,IRCTC,ecatering@irctc.co.in,Mon,29,May,2023,07:11:53,Morning,0,May 2023
135,EaseMyTrip ,info@easemytrip.com,Mon,29,May,2023,05:30:12,Morning,0,May 2023
136,IndiGo ,mailers@marketing.goindigo.in,Mon,29,May,2023,14:24:20,Afternoon,0,May 2023
137,upGrad ,info@updates.upgrad.com,Mon,29,May,2023,02:26:08,Night,0,May 2023
138,Amazon,no-reply@business.amazon.in,Mon,29,May,2023,01:21:01,Night,0,May 2023
139,SBI,yonosbi@alerts.sbi.co.in,Mon,29,May,2023,11:20:14,Morning,0,May 2023
140,NPTEL ,onlinecourses@nptel.iitm.ac.in,Mon,29,May,2023,10:16:25,Morning,0,May 2023
141,LinkedIn,jobs-listings@linkedin.com,Mon,29,May,2023,08:44:05,Morning,0,May 2023
142,EaseMyTrip ,info@easemytrip.com,Mon,29,May,2023,09:15:09,Morning,0,May 2023
143,LinkedIn,jobalerts-noreply@linkedin.com,Mon,29,May,2023,04:43:37,Night,1,May 2023
144,Adobe Acrobat ,mail@mail.adobe.com,Sun,28,May,2023,01:34:04,Night,0,May 2023
145,Varsha from Prosple ,varsha@prosple.com,Sun,28,May,2023,03:46:35,Night,0,May 2023
146,Anoj Viswanathan ,anoj@milaap.org,Sun,28,May,2023,06:45:41,Morning,0,May 2023
147,LinkedIn,invitations@linkedin.com,Sun,28,May,2023,09:53:38,Morning,0,May 2023
148,IndiGo ,mailers@marketing.goindigo.in,Sun,28,May,2023,11:50:28,Morning,0,May 2023
149,LinkedIn,jobalerts-noreply@linkedin.com,Sun,28,May,2023,04:42:53,Night,1,May 2023
150,Goibibo ,noreply@content.goibibo.com,Sun,28,May,2023,13:37:07,Afternoon,1,May 2023
151,Aditya Peddireddy ,invitations@linkedin.com,Sun,28,May,2023,00:53:39,Night,0,May 2023
152,Google,calendar-notification@google.com,Sat,27,May,2023,08:00:08,Morning,0,May 2023
153,Team Scaler ,hello@scaler.com,Sat,27,May,2023,02:35:22,Night,0,May 2023
154,SBI,YONOSBI@communications.sbi.co.in,Sat,27,May,2023,05:59:36,Morning,0,May 2023
155,IRCTC,ticketadmin@irctc.co.in,Sat,27,May,2023,15:19:34,Afternoon,0,May 2023
156,LinkedIn,jobalerts-noreply@linkedin.com,Sat,27,May,2023,04:41:13,Night,1,May 2023
157,IndiGo ,mailers@marketing.goindigo.in,Sat,27,May,2023,14:13:57,Afternoon,0,May 2023
158,Niantic ,niantic@email.nianticlabs.com,Sat,27,May,2023,02:30:00,Night,0,May 2023
159,Coursera ,no-reply@m.mail.coursera.org,Fri,26,May,2023,09:05:59,Morning,0,May 2023
160,Coursera ,Coursera@email.coursera.org,Fri,26,May,2023,02:31:10,Night,0,May 2023
161,Amazon,no-reply@business.amazon.in,Fri,26,May,2023,02:12:30,Night,0,May 2023
162,Decathlon India ,communication@email.decathlon.in,Fri,26,May,2023,21:41:35,Night,0,May 2023
163,LinkedIn,jobalerts-noreply@linkedin.com,Fri,26,May,2023,04:39:14,Night,1,May 2023
164,Datacamp,team@datacamp.com,Fri,26,May,2023,01:11:40,Night,0,May 2023
165,Varsha from Prosple ,varsha@prosple.com,Thu,25,May,2023,03:12:23,Night,0,May 2023
166,upGrad ,info@updates.upgrad.com,Thu,25,May,2023,03:12:46,Night,0,May 2023
167,EaseMyTrip ,info@easemytrip.com,Thu,25,May,2023,13:58:00,Afternoon,0,May 2023
168,SBI,yonosbi@alerts.sbi.co.in,Thu,25,May,2023,13:26:54,Afternoon,0,May 2023
169,Goibibo ,noreply@content.goibibo.com,Thu,25,May,2023,10:14:13,Morning,1,May 2023
170,LinkedIn,jobalerts-noreply@linkedin.com,Thu,25,May,2023,04:37:40,Night,1,May 2023
171,Tripadvisor ,awards@mp1.tripadvisor.com,Thu,25,May,2023,04:31:27,Night,0,May 2023
172,Google,calendar-notification@google.com,Wed,24,May,2023,08:29:52,Morning,0,May 2023
173,LinkedIn,invitations@linkedin.com,Wed,24,May,2023,04:27:56,Night,0,May 2023
174,Coursera ,Coursera@email.coursera.org,Wed,24,May,2023,01:20:49,Night,0,May 2023
175,IndiGo ,mailers@marketing.goindigo.in,Wed,24,May,2023,13:06:18,Afternoon,0,May 2023
176,upGrad ,info@updates.upgrad.com,Wed,24,May,2023,02:01:46,Night,0,May 2023
177,LinkedIn,jobs-listings@linkedin.com,Wed,24,May,2023,08:40:07,Morning,0,May 2023
178,EaseMyTrip ,info@easemytrip.com,Wed,24,May,2023,09:24:16,Morning,0,May 2023
179,LinkedIn,jobalerts-noreply@linkedin.com,Wed,24,May,2023,04:41:37,Night,1,May 2023
180,Varsha from Prosple ,varsha@prosple.com,Tue,23,May,2023,03:07:51,Night,0,May 2023
181,Coursera ,no-reply@m.mail.coursera.org,Tue,23,May,2023,08:39:28,Morning,0,May 2023
182,Coursera ,Coursera@email.coursera.org,Tue,23,May,2023,19:01:42,Evening,0,May 2023
183,Coursera ,no-reply@m.mail.coursera.org,Tue,23,May,2023,06:25:39,Morning,0,May 2023
184,Coursera ,no-reply@t.mail.coursera.org,Tue,23,May,2023,05:16:39,Morning,0,May 2023
185,Rahul - Decathlon Product Review Leader ,noreply-in@email.decathlon.in,Tue,23,May,2023,00:37:57,Night,1,May 2023
186,Quora,hindi-personalized-digest@quora.com,Tue,23,May,2023,03:55:00,Night,0,May 2023
187,LinkedIn,linkedin@e.linkedin.com,Tue,23,May,2023,23:38:08,Night,0,May 2023
188,LinkedIn,messages-noreply@linkedin.com,Tue,23,May,2023,03:01:26,Night,1,May 2023
189,Quantium (Forage) ,admin@theforage.com,Tue,23,May,2023,01:16:17,Night,0,May 2023
190,EaseMyTrip ,info@easemytrip.com,Tue,23,May,2023,10:26:37,Morning,0,May 2023
191,noreply-parivahan@gov.in,noreply-parivahan@gov.in,Tue,23,May,2023,08:07:01,Morning,1,May 2023
192,LinkedIn,messages-noreply@linkedin.com,Tue,23,May,2023,05:01:26,Morning,1,May 2023
193,LinkedIn,jobalerts-noreply@linkedin.com,Tue,23,May,2023,04:37:28,Night,1,May 2023
194,Adobe Acrobat ,mail@mail.adobe.com,Mon,22,May,2023,01:03:22,Night,0,May 2023
195,Coursera ,Coursera@email.coursera.org,Mon,22,May,2023,22:06:44,Night,0,May 2023
196,Coursera ,no-reply@m.mail.coursera.org,Mon,22,May,2023,09:25:11,Morning,0,May 2023
197,upGrad ,info@updates.upgrad.com,Mon,22,May,2023,05:34:15,Morning,0,May 2023
198,NPTEL ,onlinecourses@nptel.iitm.ac.in,Mon,22,May,2023,14:03:27,Afternoon,0,May 2023
199,upGrad ,info@updates.upgrad.com,Mon,22,May,2023,03:05:33,Night,0,May 2023
200,EaseMyTrip ,info@easemytrip.com,Mon,22,May,2023,11:42:34,Morning,0,May 2023
201,Goibibo ,noreply@content.goibibo.com,Mon,22,May,2023,09:49:18,Morning,1,May 2023
202,LinkedIn,jobs-listings@linkedin.com,Mon,22,May,2023,08:15:06,Morning,0,May 2023
203,MADE EASY ,info@madeeasyprime.com,Mon,22,May,2023,07:34:57,Morning,0,May 2023
204,MADE EASY ,info@madeeasyprime.com,Mon,22,May,2023,07:08:36,Morning,0,May 2023
205,Ferns N Petals ,happiness@moments.fnp.com,Mon,22,May,2023,06:12:28,Morning,0,May 2023
206,LinkedIn,jobalerts-noreply@linkedin.com,Mon,22,May,2023,04:37:18,Night,1,May 2023
207,Varsha from Prosple ,varsha@prosple.com,Sun,21,May,2023,20:12:29,Evening,0,May 2023
208,Google,calendar-notification@google.com,Sun,21,May,2023,08:30:03,Morning,0,May 2023
209,Goibibo ,noreply@content.goibibo.com,Sun,21,May,2023,11:22:56,Morning,1,May 2023
210,LinkedIn,jobalerts-noreply@linkedin.com,Sun,21,May,2023,04:50:14,Night,1,May 2023
211,NPTEL ,onlinecourses@nptel.iitm.ac.in,Sat,20,May,2023,05:30:00,Morning,0,May 2023
212,upGrad ,info@updates.upgrad.com,Sat,20,May,2023,01:02:14,Night,0,May 2023
213,Datacamp,team@datacamp.com,Sat,20,May,2023,09:03:15,Morning,0,May 2023
214,LinkedIn,jobalerts-noreply@linkedin.com,Sat,20,May,2023,04:44:49,Night,1,May 2023
215,Goibibo ,noreply@content.goibibo.com,Sat,20,May,2023,15:03:30,Afternoon,1,May 2023
216,Coursera ,no-reply@m.mail.coursera.org,Fri,19,May,2023,08:56:43,Morning,0,May 2023
217,IndiGo ,mailers@marketing.goindigo.in,Fri,19,May,2023,10:09:03,Morning,0,May 2023
218,EaseMyTrip ,info@easemytrip.com,Fri,19,May,2023,15:04:50,Afternoon,0,May 2023
219,NPTEL ,onlinecourses@nptel.iitm.ac.in,Fri,19,May,2023,15:00:00,Afternoon,0,May 2023
220,EaseMyTrip ,info@easemytrip.com,Fri,19,May,2023,10:53:34,Morning,0,May 2023
221,Beardo India ,support@beardo.in,Fri,19,May,2023,05:44:03,Morning,0,May 2023
222,LinkedIn,jobalerts-noreply@linkedin.com,Fri,19,May,2023,04:38:51,Night,1,May 2023
223,Varsha from Prosple ,varsha@prosple.com,Thu,18,May,2023,03:07:26,Night,0,May 2023
224,upGrad ,info@updates.upgrad.com,Thu,18,May,2023,02:01:35,Night,0,May 2023
225,Niantic ,niantic@email.nianticlabs.com,Thu,18,May,2023,02:30:00,Night,0,May 2023
226,Goibibo ,noreply@content.goibibo.com,Thu,18,May,2023,10:42:20,Morning,1,May 2023
227,LinkedIn,jobalerts-noreply@linkedin.com,Thu,18,May,2023,04:33:12,Night,1,May 2023
228,Team Scaler ,academy@mailer.scaler.com,Wed,17,May,2023,00:27:08,Night,0,May 2023
229,Team Scaler ,academy@mailer.scaler.com,Wed,17,May,2023,00:16:38,Night,0,May 2023
230,LinkedIn,linkedin@e.linkedin.com,Wed,17,May,2023,00:56:27,Night,0,May 2023
231,LinkedIn,jobs-noreply@linkedin.com,Wed,17,May,2023,07:25:42,Morning,1,May 2023
232,Team Scaler ,academy@mailer.scaler.com,Wed,17,May,2023,02:12:42,Night,0,May 2023
233,LinkedIn,linkedin@e.linkedin.com,Wed,17,May,2023,23:33:20,Night,0,May 2023
234,IndiGo ,mailers@marketing.goindigo.in,Wed,17,May,2023,10:58:31,Morning,0,May 2023
235,Coursera ,Coursera@email.coursera.org,Wed,17,May,2023,02:55:06,Night,0,May 2023
236,EaseMyTrip ,info@easemytrip.com,Wed,17,May,2023,14:23:36,Afternoon,0,May 2023
237,Goibibo ,info@content.goibibo.com,Wed,17,May,2023,10:52:04,Morning,0,May 2023
238,EaseMyTrip ,info@easemytrip.com,Wed,17,May,2023,10:47:18,Morning,0,May 2023
239,LinkedIn,jobs-listings@linkedin.com,Wed,17,May,2023,08:49:08,Morning,0,May 2023
240,LinkedIn,jobalerts-noreply@linkedin.com,Wed,17,May,2023,04:47:31,Night,1,May 2023
241,Tripadvisor ,inspiration@mp1.tripadvisor.com,Wed,17,May,2023,02:41:36,Night,0,May 2023
242,Niantic ,niantic@email.nianticlabs.com,Wed,17,May,2023,02:30:00,Night,0,May 2023
243,Varsha from Prosple ,varsha@prosple.com,Tue,16,May,2023,03:08:41,Night,0,May 2023
244,Coursera ,no-reply@m.mail.coursera.org,Tue,16,May,2023,05:53:42,Morning,0,May 2023
245,Goibibo ,noreply@content.goibibo.com,Tue,16,May,2023,15:25:42,Afternoon,1,May 2023
246,NPTEL ,onlinecourses@nptel.iitm.ac.in,Tue,16,May,2023,13:30:00,Afternoon,0,May 2023
247,Quantium (Forage) ,admin@theforage.com,Tue,16,May,2023,01:11:40,Night,0,May 2023
248,LinkedIn,messages-noreply@linkedin.com,Tue,16,May,2023,05:01:26,Morning,1,May 2023
249,LinkedIn,jobalerts-noreply@linkedin.com,Tue,16,May,2023,04:51:05,Night,1,May 2023
250,LinkedIn,jobs-noreply@linkedin.com,Mon,15,May,2023,01:33:24,Night,1,May 2023
251,Coursera ,Coursera@email.coursera.org,Mon,15,May,2023,23:11:18,Night,0,May 2023
252,Coursera ,no-reply@m.mail.coursera.org,Mon,15,May,2023,09:11:05,Morning,0,May 2023
253,LinkedIn,invitations@linkedin.com,Mon,15,May,2023,08:53:39,Morning,0,May 2023
254,upGrad ,info@updates.upgrad.com,Mon,15,May,2023,06:21:17,Morning,0,May 2023
255,upGrad ,info@updates.upgrad.com,Mon,15,May,2023,05:20:08,Morning,0,May 2023
256,LinkedIn,messages-noreply@linkedin.com,Mon,15,May,2023,03:01:26,Night,1,May 2023
257,NPTEL ,onlinecourses@nptel.iitm.ac.in,Mon,15,May,2023,12:46:37,Afternoon,0,May 2023
258,LinkedIn,jobs-listings@linkedin.com,Mon,15,May,2023,08:47:06,Morning,0,May 2023
259,LinkedIn,jobalerts-noreply@linkedin.com,Mon,15,May,2023,04:35:43,Night,1,May 2023
260,Varsha from Prosple ,varsha@prosple.com,Sun,14,May,2023,04:46:31,Night,0,May 2023
261,Adobe Acrobat ,mail@mail.adobe.com,Sun,14,May,2023,00:23:12,Night,0,May 2023
262,Goibibo ,noreply@content.goibibo.com,Sun,14,May,2023,13:49:50,Afternoon,1,May 2023
